State,County,County And State,Average Cost Of Rent,Average Cost of Insurance With Employer,Medcaid For Adults,Medcaid for Children,Average Transportation Expense,Average Misc Expense,Average Misc Expense 2020,Medicaid For Children 2014,Medicaid For Adults 2014 ,AverageCostOfRent 2019,Average Insurance With Employer 2019,Total Cost
CA,San Luis Obispo County,"San Luis Obispo County, California",21053.987,1592.686972,3078.144,"2,880",10955,6966.9474,6654.2,"2,500","2,672",19881.00755,1503.953704,40569
CA,San Mateo County,"San Mateo County, California",41966.2718,1592.686972,3078.144,"2,880",10556,10549.9908,10076.4,"2,500","2,672",39628.20755,1503.953704,64665
CA,Santa Barbara County,"Santa Barbara County, California",26177.8526,1592.686972,3078.144,"2,880",11144,7827.44529,7476.07,"2,500","2,672",24719.40755,1503.953704,46742
CA,Santa Clara County,"Santa Clara County, California",38842.6454,1592.686972,3078.144,"2,880",11293,9705.61671,9269.93,"2,500","2,672",36678.60755,1503.953704,61434
CA,Santa Cruz County,"Santa Cruz County, California",20180.9474,1592.686972,3078.144,"2,880",10580,6535.5834,6242.2,"2,500","2,672",19056.60755,1503.953704,38889
CA,Shasta County,"Shasta County, California",12509.1278,1592.686972,3078.144,"2,880",9950,5639.90631,5386.73,"2,500","2,672",11812.20755,1503.953704,29692
CA,Sierra County,"Sierra County, California",12870.035,1592.686972,3078.144,"2,880",10064,6024.09249,5753.67,"2,500","2,672",12153.00755,1503.953704,30551
CA,Siskiyou County,"Siskiyou County, California",9876.030194,1592.686972,3078.144,"2,880",10111,5530.18071,5281.93,"2,500","2,672",9325.807549,1503.953704,27110
CA,Solano County,"Solano County, California",19704.3974,1592.686972,3078.144,"2,880",10898,6838.23969,6531.27,"2,500","2,672",18606.60755,1503.953704,39033
CA,Sonoma County,"Sonoma County, California",26210.8934,1592.686972,3078.144,"2,880",10951,7675.83969,7331.27,"2,500","2,672",24750.60755,1503.953704,46430
CA,Stanislaus County,"Stanislaus County, California",12877.6598,1592.686972,3078.144,"2,880",10795,5806.10709,5545.47,"2,500","2,672",12160.20755,1503.953704,31071
CA,Sutter County,"Sutter County, California",10946.0438,1592.686972,3078.144,"2,880",10473,5757.8718,5499.4,"2,500","2,672",10336.20755,1503.953704,28770
CA,Tehama County,"Tehama County, California",9316.878194,1592.686972,3078.144,"2,880",10535,5297.89329,5060.07,"2,500","2,672",8797.807549,1503.953704,26742
CA,Trinity County,"Trinity County, California",9526.560194,1592.686972,3078.144,"2,880",10084,4893.12309,4673.47,"2,500","2,672",8995.807549,1503.953704,26096
CA,Tulare County,"Tulare County, California",11261.2022,1592.686972,3078.144,"2,880",10831,5463.80091,5218.53,"2,500","2,672",10633.80755,1503.953704,29149
CA,Tuolumne County,"Tuolumne County, California",12270.2174,1592.686972,3078.144,"2,880",10635,6006.08409,5736.47,"2,500","2,672",11586.60755,1503.953704,30504
CA,Ventura County,"Ventura County, California",24284.3606,1592.686972,3078.144,"2,880",12379,7572.3228,7232.4,"2,500","2,672",22931.40755,1503.953704,45828
CA,Yolo County,"Yolo County, California",17935.4438,1592.686972,3078.144,"2,880",10145,7096.22049,6777.67,"2,500","2,672",16936.20755,1503.953704,36769
CA,Yuba County,"Yuba County, California",10946.0438,1592.686972,3078.144,"2,880",10701,5857.5462,5594.6,"2,500","2,672",10336.20755,1503.953704,29097
NY,Albany County,"Albany County, New York",11392.0946,1770.069472,5424.768,"3,056",8732,5376.06231,5134.73,"2,653","4,709",10757.40755,1671.453704,27270
NY,Allegany County,"Allegany County, New York",7929.164594,1770.069472,5424.768,"3,056",9475,4644.5967,4436.1,"2,653","4,709",7487.407549,1671.453704,23819
NY,Bronx County,"Bronx County, New York",23194.0142,1770.069472,5424.768,"3,056",4551,6521.89911,6229.13,"2,653","4,709",21901.80755,1671.453704,36037
NY,Broome County,"Broome County, New York",9372.793394,1770.069472,5424.768,"3,056",8923,4986.6516,4762.8,"2,653","4,709",8850.607549,1671.453704,25053
NY,Cattaraugus County,"Cattaraugus County, New York",7830.042194,1770.069472,5424.768,"3,056",9867,4771.31511,4557.13,"2,653","4,709",7393.807549,1671.453704,24238
NY,Cayuga County,"Cayuga County, New York",8473.066994,1770.069472,5424.768,"3,056",10329,4937.93469,4716.27,"2,653","4,709",8001.007549,1671.453704,25510
NY,Chautauqua County,"Chautauqua County, New York",7774.126994,1770.069472,5424.768,"3,056",9920,4467.549,4267,"2,653","4,709",7341.007549,1671.453704,23932
NY,Chemung County,"Chemung County, New York",9144.049394,1770.069472,5424.768,"3,056",9697,4920.19851,4699.33,"2,653","4,709",8634.607549,1671.453704,25531
NY,Chenango County,"Chenango County, New York",7845.291794,1770.069472,5424.768,"3,056",10069,4802.93451,4587.33,"2,653","4,709",7408.207549,1671.453704,24487
NY,Clinton County,"Clinton County, New York",8837.645395,1770.069472,5424.768,"3,056",10309,4786.28721,4571.43,"2,653","4,709",8345.274216,1671.453704,25703
NY,Columbia County,"Columbia County, New York",10874.5613,1770.069472,5424.768,"3,056",10421,5145.76419,4914.77,"2,653","4,709",10268.70755,1671.453704,28211
NY,Cortland County,"Cortland County, New York",8816.182994,1770.069472,5424.768,"3,056",9950,4972.27629,4749.07,"2,653","4,709",8325.007549,1671.453704,25509
NY,Delaware County,"Delaware County, New York",9492.248594,1770.069472,5424.768,"3,056",9873,5518.70559,5270.97,"2,653","4,709",8963.407549,1671.453704,26654
NY,Dutchess County,"Dutchess County, New York",16672.2686,1770.069472,5424.768,"3,056",10649,6566.43849,6271.67,"2,653","4,709",15743.40755,1671.453704,35658
NY,Erie County,"Erie County, New York",8717.907794,1770.069472,5424.768,"3,056",9057,4985.32191,4761.53,"2,653","4,709",8232.207549,1671.453704,24530
NY,Essex County,"Essex County, New York",12883.5902,1770.069472,5424.768,"3,056",9511,5359.593,5119,"2,653","4,709",12165.80755,1671.453704,29524
NY,Franklin County,"Franklin County, New York",8534.307452,1770.069472,5424.768,"3,056",10385,4622.96568,4415.44,"2,653","4,709",8058.836121,1671.453704,25312
NY,Fulton County,"Fulton County, New York",8299.920494,1770.069472,5424.768,"3,056",9801,4669.71423,4460.09,"2,653","4,709",7837.507549,1671.453704,24541
NY,Genesee County,"Genesee County, New York",8351.070194,1770.069472,5424.768,"3,056",9957,5023.6107,4798.1,"2,653","4,709",7885.807549,1671.453704,25102
NY,Greene County,"Greene County, New York",8366.864423,1770.069472,5424.768,"3,056",9877,4632.69231,4424.73,"2,653","4,709",7900.721835,1671.453704,24647
NY,Hamilton County,"Hamilton County, New York",8572.951874,1770.069472,5424.768,"3,056",10463,4837.08765,4619.95,"2,653","4,709",8095.327549,1671.453704,25643
NY,Herkimer County,"Herkimer County, New York",8394.277394,1770.069472,5424.768,"3,056",9712,4828.69071,4611.93,"2,653","4,709",7926.607549,1671.453704,24705
NY,Jefferson County,"Jefferson County, New York",9518.172914,1770.069472,5424.768,"3,056",9943,4848.49995,4630.85,"2,653","4,709",8987.887549,1671.453704,26080
NY,Kings County,"Kings County, New York",17743.553,1770.069472,5424.768,"3,056",7508,5558.523,5309,"2,653","4,709",16755.00755,1671.453704,32580
NY,Lewis County,"Lewis County, New York",7692.069623,1770.069472,5424.768,"3,056",10199,4697.23986,4486.38,"2,653","4,709",7263.521835,1671.453704,24358
NY,Livingston County,"Livingston County, New York",8888.872754,1770.069472,5424.768,"3,056",10331,4982.93475,4759.25,"2,653","4,709",8393.647549,1671.453704,25973
NY,Madison County,"Madison County, New York",9411.586237,1770.069472,5424.768,"3,056",10200,4667.90292,4458.36,"2,653","4,709",8887.239128,1671.453704,26050
NY,Monroe County,"Monroe County, New York",9250.198571,1770.069472,5424.768,"3,056",9965,5033.6619,4807.7,"2,653","4,709",8734.842843,1671.453704,26019
NY,Montgomery County,"Montgomery County, New York",9557.765395,1770.069472,5424.768,"3,056",9559,4988.61996,4764.68,"2,653","4,709",9025.274216,1671.453704,25875
NY,Nassau County,"Nassau County, New York",18274.7474,1770.069472,5424.768,"3,056",10007,6705.0927,6404.1,"2,653","4,709",17256.60755,1671.453704,36757
NY,New York County,"New York County, New York",23194.0142,1770.069472,5424.768,"3,056",2414,0,0,"2,653","4,709",21901.80755,1671.453704,27378
NY,Niagara County,"Niagara County, New York",9380.418194,1770.069472,5424.768,"3,056",9705,4802.7984,4587.2,"2,653","4,709",8857.807549,1671.453704,25658
NY,Oneida County,"Oneida County, New York",8017.273394,1770.069472,5424.768,"3,056",10092,4789.74231,4574.73,"2,653","4,709",7570.607549,1671.453704,24669
NY,Onondaga County,"Onondaga County, New York",9611.703794,1770.069472,5424.768,"3,056",9174,5399.30571,5156.93,"2,653","4,709",9076.207549,1671.453704,25955
NY,Ontario County,"Ontario County, New York",10686.8006,1770.069472,5424.768,"3,056",10601,5439.23829,5195.07,"2,653","4,709",10091.40755,1671.453704,28497
NY,Orange County,"Orange County, New York",14502.46836,1770.069472,5424.768,"3,056",10013,5617.89837,5365.71,"2,653","4,709",13694.49326,1671.453704,31903
NY,Orleans County,"Orleans County, New York",10686.8006,1770.069472,5424.768,"3,056",11062,4793.7942,4578.6,"2,653","4,709",10091.40755,1671.453704,28313
NY,Oswego County,"Oswego County, New York",9611.703794,1770.069472,5424.768,"3,056",10421,4896.26409,4676.47,"2,653","4,709",9076.207549,1671.453704,26699
NY,Otsego County,"Otsego County, New York",9033.489794,1770.069472,5424.768,"3,056",10229,4982.8824,4759.2,"2,653","4,709",8530.207549,1671.453704,26015
NY,Putnam County,"Putnam County, New York",9642.202994,1770.069472,5424.768,"3,056",10334,4908.78621,4688.43,"2,653","4,709",9105.007549,1671.453704,26655
NY,Queens County,"Queens County, New York",23194.0142,1770.069472,5424.768,"3,056",5868,7034.71971,6718.93,"2,653","4,709",21901.80755,1671.453704,37867
NY,Rensselaer County,"Rensselaer County, New York",12971.699,1770.069472,5424.768,"3,056",9735,5655.82071,5401.93,"2,653","4,709",12249.00755,1671.453704,30133
NY,Richmond County,"Richmond County, New York",12631.1246,1770.069472,5424.768,"3,056",9209,5057.71149,4830.67,"2,653","4,709",11927.40755,1671.453704,28668
NY,Rockland County,"Rockland County, New York",23194.0142,1770.069472,5424.768,"3,056",9663,7860.80271,7507.93,"2,653","4,709",21901.80755,1671.453704,42488
NY,St. Lawrence County,"St. Lawrence County, New York",8917.846994,1770.069472,5424.768,"3,056",9725,4885.5114,4666.2,"2,653","4,709",8421.007549,1671.453704,25298
NY,Saratoga County,"Saratoga County, New York",12971.699,1770.069472,5424.768,"3,056",10290,5974.94631,5706.73,"2,653","4,709",12249.00755,1671.453704,31007
NY,Schenectady County,"Schenectady County, New York",12971.699,1770.069472,5424.768,"3,056",9234,5633.41491,5380.53,"2,653","4,709",12249.00755,1671.453704,29609
NY,Schoharie County,"Schoharie County, New York",12971.699,1770.069472,5424.768,"3,056",11344,5261.10171,5024.93,"2,653","4,709",12249.00755,1671.453704,31347
NY,Schuyler County,"Schuyler County, New York",7406.442194,1770.069472,5424.768,"3,056",10218,4565.52726,4360.58,"2,653","4,709",6993.807549,1671.453704,23960
NY,Seneca County,"Seneca County, New York",8276.092994,1770.069472,5424.768,"3,056",9999,4627.2165,4419.5,"2,653","4,709",7815.007549,1671.453704,24672
NY,Steuben County,"Steuben County, New York",8079.118994,1770.069472,5424.768,"3,056",10064,4573.53681,4368.23,"2,653","4,709",7629.007549,1671.453704,24487
NY,Suffolk County,"Suffolk County, New York",24510.563,1770.069472,5424.768,"3,056",10394,7872.1836,7518.8,"2,653","4,709",23145.00755,1671.453704,44547
NY,Sullivan County,"Sullivan County, New York",8567.614514,1770.069472,5424.768,"3,056",10027,4651.95711,4443.13,"2,653","4,709",8090.287549,1671.453704,25017
NY,Tioga County,"Tioga County, New York",9072.884594,1770.069472,5424.768,"3,056",10275,4870.61259,4651.97,"2,653","4,709",8567.407549,1671.453704,25989
NY,Tompkins County,"Tompkins County, New York",13861.259,1770.069472,5424.768,"3,056",9411,6048.65511,5777.13,"2,653","4,709",13089.00755,1671.453704,31091
NY,Ulster County,"Ulster County, New York",14387.3702,1770.069472,5424.768,"3,056",10348,6302.3118,6019.4,"2,653","4,709",13585.80755,1671.453704,32808
NY,Warren County,"Warren County, New York",9464.472538,1770.069472,5424.768,"3,056",10305,4804.01292,4588.36,"2,653","4,709",8937.178978,1671.453704,26344
NY,Washington County,"Washington County, New York",9153.086195,1770.069472,5424.768,"3,056",10220,4684.88526,4474.58,"2,653","4,709",8643.140883,1671.453704,25828
NY,Wayne County,"Wayne County, New York",7857.046694,1770.069472,5424.768,"3,056",10118,4608.3705,4401.5,"2,653","4,709",7419.307549,1671.453704,24353
NY,Westchester County,"Westchester County, New York",22772.1086,1770.069472,5424.768,"3,056",8814,7631.1642,7288.6,"2,653","4,709",21503.40755,1671.453704,40987
NY,Wyoming County,"Wyoming County, New York",7631.797394,1770.069472,5424.768,"3,056",10328,5118.85629,4889.07,"2,653","4,709",7206.607549,1671.453704,24849
NY,Yates County,"Yates County, New York",8345.986994,1770.069472,5424.768,"3,056",11134,4695.44949,4484.67,"2,653","4,709",7881.007549,1671.453704,25946
WA,Adams County,"Adams County, Washington",9285.531794,1552.033139,7186.176,"2,297",10270,4924.96236,4703.88,"1,994","6,238",8768.207549,1465.564815,26033
WA,Asotin County,"Asotin County, Washington",9355.002194,1552.033139,7186.176,"2,297",9798,4878.94671,4659.93,"1,994","6,238",8833.807549,1465.564815,25584
WA,Benton County,"Benton County, Washington",9391.149395,1552.033139,7186.176,"2,297",10240,4749.38046,4536.18,"1,994","6,238",8867.940883,1465.564815,25933
WA,Chelan County,"Chelan County, Washington",11439.1142,1552.033139,7186.176,"2,297",10996,5202.1242,4968.6,"1,994","6,238",10801.80755,1465.564815,29189
WA,Clallam County,"Clallam County, Washington",11990.6414,1552.033139,7186.176,"2,297",9431,5337.74211,5098.13,"1,994","6,238",11322.60755,1465.564815,28311
WA,Clark County,"Clark County, Washington",9555.364994,1552.033139,7186.176,"2,297",10343,4831.77936,4614.88,"1,994","6,238",9023.007549,1465.564815,26282
WA,Columbia County,"Columbia County, Washington",10874.5613,1552.033139,7186.176,"2,297",10421,5145.76419,4914.77,"1,994","6,238",10268.70755,1465.564815,27993
WA,Cowlitz County,"Cowlitz County, Washington",11647.5254,1552.033139,7186.176,"2,297",9750,5266.90209,5030.47,"1,994","6,238",10998.60755,1465.564815,28216
WA,Douglas County,"Douglas County, Washington",11331.9434,1552.033139,7186.176,"2,297",10244,5264.80809,5028.47,"1,994","6,238",10700.60755,1465.564815,28393
WA,Ferry County,"Ferry County, Washington",8704.352594,1552.033139,7186.176,"2,297",10517,4686.5814,4476.2,"1,994","6,238",8219.407549,1465.564815,25460
WA,Franklin County,"Franklin County, Washington",8534.307452,1552.033139,7186.176,"2,297",10385,4622.96568,4415.44,"1,994","6,238",8058.836121,1465.564815,25094
WA,Garfield County,"Garfield County, Washington",9153.792194,1552.033139,7186.176,"2,297",10782,5120.53149,4890.67,"1,994","6,238",8643.807549,1465.564815,26608
WA,Grant County,"Grant County, Washington",8058.967738,1552.033139,7186.176,"2,297",10763,4446.64041,4247.03,"1,994","6,238",7609.978978,1465.564815,24821
WA,Grays Harbor County,"Grays Harbor County, Washington",10005.65179,1552.033139,7186.176,"2,297",9862,5176.29471,4943.93,"1,994","6,238",9448.207549,1465.564815,26596
WA,Island County,"Island County, Washington",14064.587,1552.033139,7186.176,"2,297",10479,6092.0742,5818.6,"1,994","6,238",13281.00755,1465.564815,32188
WA,Jefferson County,"Jefferson County, Washington",9518.172914,1552.033139,7186.176,"2,297",9943,4848.49995,4630.85,"1,994","6,238",8987.887549,1465.564815,25862
WA,King County,"King County, Washington",19159.2242,1552.033139,7186.176,"2,297",10734,4734.81669,4522.27,"1,994","6,238",18091.80755,1465.564815,36180
WA,Kitsap County,"Kitsap County, Washington",15467.5502,1552.033139,7186.176,"2,297",10358,0,0,"1,994","6,238",14605.80755,1465.564815,27378
WA,Kittitas County,"Kittitas County, Washington",12013.5158,1552.033139,7186.176,"2,297",10314,5239.47069,5004.27,"1,994","6,238",11344.20755,1465.564815,29119
WA,Klickitat County,"Klickitat County, Washington",10610.5526,1552.033139,7186.176,"2,297",10946,5788.72689,5528.87,"1,994","6,238",10019.40755,1465.564815,28897
WA,Lewis County,"Lewis County, Washington",7692.069623,1552.033139,7186.176,"2,297",10199,4697.23986,4486.38,"1,994","6,238",7263.521835,1465.564815,24140
WA,Lincoln County,"Lincoln County, Washington",8382.147031,1552.033139,7186.176,"2,297",10512,4613.10294,4406.02,"1,994","6,238",7915.153004,1465.564815,25059
WA,Mason County,"Mason County, Washington",8644.201394,1552.033139,7186.176,"2,297",10080,4754.79345,4541.35,"1,994","6,238",8162.607549,1465.564815,25031
WA,Okanogan County,"Okanogan County, Washington",9159.298994,1552.033139,7186.176,"2,297",10494,4781.2302,4566.6,"1,994","6,238",8649.007549,1465.564815,25987
WA,Pacific County,"Pacific County, Washington",9939.570194,1552.033139,7186.176,"2,297",9784,5505.40869,5258.27,"1,994","6,238",9385.807549,1465.564815,26781
WA,Pend Oreille County,"Pend Oreille County, Washington",8757.726194,1552.033139,7186.176,"2,297",10941,4714.14891,4502.53,"1,994","6,238",8269.807549,1465.564815,25965
WA,Pierce County,"Pierce County, Washington",10994.3342,1552.033139,7186.176,"2,297",10403,4881.71079,4662.57,"1,994","6,238",10381.80755,1465.564815,27831
WA,San Juan County,"San Juan County, Washington",11188.7666,1552.033139,7186.176,"2,297",11024,5298.12363,5060.29,"1,994","6,238",10565.40755,1465.564815,29063
WA,Skagit County,"Skagit County, Washington",12389.6726,1552.033139,7186.176,"2,297",10674,6043.4934,5772.2,"1,994","6,238",11699.40755,1465.564815,30659
WA,Skamania County,"Skamania County, Washington",19816.2278,1552.033139,7186.176,"2,297",11872,5947.3788,5680.4,"1,994","6,238",18712.20755,1465.564815,39188
WA,Snohomish County,"Snohomish County, Washington",26386.2638,1552.033139,7186.176,"2,297",10333,0,0,"1,994","6,238",24916.20755,1465.564815,38271
WA,Spokane County,"Spokane County, Washington",10813.8806,1552.033139,7186.176,"2,297",8836,5101.89489,4872.87,"1,994","6,238",10211.40755,1465.564815,26304
WA,Stevens County,"Stevens County, Washington",7906.290194,1552.033139,7186.176,"2,297",11281,4542.65031,4338.73,"1,994","6,238",7465.807549,1465.564815,25282
WA,Thurston County,"Thurston County, Washington",11201.4746,1552.033139,7186.176,"2,297",10445,5665.18089,5410.87,"1,994","6,238",10577.40755,1465.564815,28864
WA,Wahkiakum County,"Wahkiakum County, Washington",8803.474994,1552.033139,7186.176,"2,297",10540,5006.47131,4781.73,"1,994","6,238",8313.007549,1465.564815,25902
WA,Walla Walla County,"Walla Walla County, Washington",11665.3166,1552.033139,7186.176,"2,297",9564,5451.59289,5206.87,"1,994","6,238",11015.40755,1465.564815,28233
WA,Whatcom County,"Whatcom County, Washington",13675.7222,1552.033139,7186.176,"2,297",10314,6038.2584,5767.2,"1,994","6,238",12913.80755,1465.564815,31580
WA,Whitman County,"Whitman County, Washington",10379.26699,1552.033139,7186.176,"2,297",9181,5270.04309,5033.47,"1,994","6,238",9801.007549,1465.564815,26382
WA,Yakima County,"Yakima County, Washington",9672.702194,1552.033139,7186.176,"2,297",10422,5007.5916,4782.8,"1,994","6,238",9133.807549,1465.564815,26654
